k,rmse_log,mae_log,future_point_pooled_soh_rmse,curve_cells,template_failures,failure_predicted_life_not_after_k,failure_missing_anchor,failure_no_future_observation,failure_template_anchor_denominator
5,0.2793637078300393,0.1907525836486076,0.044267361746307375,41,0,0,0,0,0
10,0.2653396470880255,0.19074117349942285,0.04262103913674484,41,0,0,0,0,0
20,0.3010264861895247,0.2020859287448671,0.044368923395566646,41,0,0,0,0,0
50,0.28380385564888394,0.19945419035709036,0.042294340277973456,41,0,0,0,0,0
100,0.2317370843306235,0.17008424662810068,0.03906959951811792,41,0,0,0,0,0
