fold,alpha,inner_mse,test_n
1,100.0,0.15807182502517578,9
2,10.0,0.0702733664369339,8
3,30.0,0.16492235795868085,8
4,30.0,0.14357499511450883,8
5,30.0,0.14924633929743786,8
