fold,alpha,inner_mse,test_n
1,0.1,0.09960114446190452,9
2,30.0,0.07118825364495976,8
3,0.01,0.09469288533465789,8
4,0.1,0.11663691291491063,8
5,0.1,0.12101477346094533,8
