model_id,model_name,k,rmse_log,mae_log,rmse_cycle,mae_cycle,overprediction_rate,cell_equal_soh_rmse,future_point_pooled_soh_rmse,curve_cells,template_failures,failure_predicted_life_not_after_k,failure_missing_anchor,failure_no_future_observation,failure_template_anchor_denominator
M3R,策略＋早期＋低维RAW电压 Ridge,5,0.24069596611644395,0.1571423730710565,215.17982940239278,115.12841403199724,0.43902439024390244,0.03299404832342137,0.03828823018086687,41,0,0,0,0,0
M3R,策略＋早期＋低维RAW电压 Ridge,10,0.2871080126585327,0.1924048315733999,249.48672421310602,138.07728030697996,0.5365853658536586,0.03573834371428796,0.042392238681174824,41,0,0,0,0,0
M3R,策略＋早期＋低维RAW电压 Ridge,20,0.2593052031169744,0.1811978141434356,213.1932708355784,127.20425227479197,0.5365853658536586,0.03416484955000406,0.03874357420296729,41,0,0,0,0,0
M3R,策略＋早期＋低维RAW电压 Ridge,50,0.30998062861029135,0.20852296609217313,258.2907794568181,149.7050309984193,0.4634146341463415,0.038073040828597256,0.0446899168185038,41,0,0,0,0,0
M3R,策略＋早期＋低维RAW电压 Ridge,100,0.2715121012016686,0.19180353638289765,223.41222417916532,135.74749270039945,0.5365853658536586,0.036359273073883584,0.04202645272371549,41,0,0,0,0,0
