k,rmse_log_m3,mae_log_m3,cell_equal_soh_rmse_m3,rmse_log_m3r,mae_log_m3r,cell_equal_soh_rmse_m3r,delta_rmse_log_m3r_minus_m3,delta_mae_log_m3r_minus_m3,delta_cell_equal_soh_rmse_m3r_minus_m3
5,0.2623309035553927,0.1810457922874094,0.0358224404065725,0.24069596611644395,0.1571423730710565,0.03299404832342137,-0.02163493743894873,-0.023903419216352917,-0.002828392083151131
10,0.2594094344157833,0.1919326899431454,0.03771507074539,0.2871080126585327,0.1924048315733999,0.03573834371428796,0.027698578242749405,0.00047214163025449674,-0.001976727031102042
20,0.2631189579552169,0.1895699661654581,0.0372674618667553,0.2593052031169744,0.1811978141434356,0.03416484955000406,-0.003813754838242478,-0.008372152022022489,-0.003102612316751241
50,0.2938807273001066,0.2001260802675192,0.0378334623612821,0.30998062861029135,0.20852296609217313,0.038073040828597256,0.01609990131018474,0.008396885824653921,0.00023957846731515603
100,0.2501002024805724,0.1842387882248891,0.0365173446133777,0.2715121012016686,0.19180353638289765,0.036359273073883584,0.021411898721096168,0.007564748158008561,-0.00015807153949411873
