C1,Q1_percent,C2,C1^2,C1 Q1_percent,C1 C2,Q1_percent^2,Q1_percent C2,C2^2,replicate
-0.5882820546859483,-0.33397729785371305,-0.43212017582165146,0.749658665065874,-0.5767635280282338,-0.1799938131799898,0.36748091669491684,0.7316112711044161,0.0752574077827098,1
0.34561820388179476,-0.06151397624814062,-0.26592624418954824,0.13042059730553346,-0.623316258000267,-0.2910503294869306,-0.1808182340635979,0.5875705945991878,-0.008715253919456354,2
0.08248341984712852,-0.4299346969758311,-0.8748143317764581,0.2576623429479399,-0.9493334082363788,0.05536067342181933,1.0708378961899685,0.31003120462043343,0.465948778903821,3
0.19534453638259439,-0.2482942746535078,-0.4792794636044881,0.1234543130329504,-0.6488720492097025,-0.1972050400776134,0.25328596256377395,0.7046713439860993,0.20673977267793506,4
0.17975744038443298,0.5507363577752122,-0.1520576000680874,0.519254423445106,-1.2500037272742868,-0.3343985299192909,0.1160857600004583,0.5344615758940451,-0.06948916993789132,5
0.10475266516385476,-0.32967557362114175,0.020359300862921172,0.18832988688411678,-0.6842802594447523,-0.2655488666833975,0.3928874552963069,0.8363717971332512,-0.31386228577726283,6
0.24443948575311802,0.29119021569614373,-0.10556658602694469,0.38244193526612147,-1.4123024931025154,-0.39488594778582653,-0.06794365244786901,1.021296827381007,-0.29954971680340564,7
0.07325183927242539,0.6347875228680995,-0.17361662587938462,0.2854208278797571,-1.1413784211842617,-0.20559424313670496,0.13719505404431787,0.3336730299392201,-0.05437638761341349,8
0.0026759101709628395,-0.2682707881824263,0.14778704073635593,0.08017701017470422,-0.3277958200353059,-0.06726879518542635,0.4655415171536105,0.33530245352044913,-0.2937664057788593,9
0.08152850498955971,0.5978279314885354,-0.22493416805738736,0.4212352436027829,-1.070271074394841,-0.21088814196724526,0.3532000938126255,0.24166138968688644,0.06929921327756391,10
0.12049485565591668,0.3323356533569341,-0.8115814872443204,0.13527270485545348,-0.8882165997607916,-0.03958881245307771,0.5691683093268423,0.13138421343664833,0.5451645569214535,11
-0.0018675002058901333,-0.7733938226499995,-0.48384847361405026,0.0764000215635595,-0.053182698292910474,-0.04977142919482605,0.07990279958640852,0.8478333399610538,0.03312925373309537,12
-0.04776979406624482,0.22714169758775557,-0.29695347891465107,0.24729578773742497,-0.7210566710418354,-0.08005733327625887,0.058179715841206237,0.5381541640652545,-0.06967882832126691,13
0.12613416852480594,0.32478130187827076,-0.16729976611923894,0.32242023632346134,-1.1691354199921045,-0.27849778669959796,-0.07361012389345863,0.8518117763775348,-0.1966842214964361,14
-0.1782117971935888,0.382863734824268,-0.4149954932742445,0.4288508249273671,-0.7665972739769892,-0.11799402393804986,0.1087691250713405,0.33742181964720663,0.13328448425130288,15
-0.090590689888081,0.16708509159610027,-0.36075273898641397,0.4931888775140673,-0.7070650847370868,-0.16396709050496616,0.63326763692811,0.09581403189417394,0.30238491173238186,16
0.022797121403707692,0.0027826778466017075,-0.27989496712741563,0.2943135616485616,-1.024104570846971,-0.19151888575466164,0.35145056118232554,0.8373370484137114,-0.1390574855626249,17
0.1863561093045255,0.7493074643048546,-0.3213618047652849,0.4919044593878335,-1.373684511346748,-0.41652218697127885,-0.07183500774568272,0.6855806576718856,-0.08388363930718293,18
-0.5299012046772572,0.16844434684917609,-0.545750707040623,0.5789807329027591,-1.2463620183061421,0.1354977970848236,0.2639298389763561,0.81125474703281,-0.13744186221173468,19
0.057743274701813695,-0.081391434879152,-0.07845558846943389,0.42331661263414794,-0.7722136685632162,-0.3763163641219053,0.1189337589123532,0.6472382102583815,-0.14825081530818174,20
0.2191989640045228,-0.5952052683410594,-0.16021694116381605,0.08203177969371123,-0.0314761352919352,-0.25195527664078465,0.12401585188458387,0.6237538370298857,0.08163202803773317,21
0.065149015029113,0.7334708523720941,-0.44302585947483275,0.2748546466333778,-1.1011592130857248,-0.16717283098044391,0.09481163117077196,0.3820493714232449,0.13475501091565092,22
-0.12719948505900924,0.3108906703327535,-0.6139654685598205,0.1146870258628208,-0.6707872414583425,0.08249684182879057,0.35345643393067194,0.19732566158515258,0.1864847259460862,23
