C1,Q1_percent,C2,q,single_stage_0_80,C2_effective,tau_0_80_min,E0_20,E20_40,E40_60,E60_80,observed_train_parameter_combo,d5_raw,d5_soc,passes_raw_5nn,passes_soc_5nn,passes_double_5nn,support_bootstrap_rate,passes_support_bootstrap,q2b_pred_log_life,q2b_pred_cycle_life,model_disagreement_log,candidate_type,status,status_reason
5.6,69.0,5.4,0.69,False,5.4,8.615079365079366,5.599999999999999,5.599999999999999,5.6,5.489999999999999,False,0.9761659694949416,2.49138810216536,True,True,True,0.832,True,5.8413507822898465,344.24402548330755,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.2,40.0,6.0,0.4,False,6.0,8.615384615384615,5.2,5.2,6.0,6.0,False,1.048322274797562,2.558082818101838,True,True,True,0.854,True,6.169096102067455,477.75406994429954,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,65.0,4.25,0.65,False,4.25,8.61764705882353,6.000000000000001,6.000000000000001,6.0,4.6875,False,0.6969343401568011,2.4690893497905924,True,True,True,0.948,True,5.908641569285459,368.20563368222145,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,55.0,5.5,0.55,False,5.5,8.62012987012987,5.599999999999999,5.599999999999999,5.575,5.5,False,1.0362451841300173,2.4820194181615434,True,True,True,0.91,True,5.713610364611828,302.96290267920597,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,55.0,4.8,0.55,False,4.8,8.625000000000002,6.000000000000001,6.000000000000001,5.699999999999999,4.8,False,0.9089863860366665,2.4165215609671895,True,True,True,0.986,True,5.628150330082965,278.1471610936641,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,50.0,5.5,0.5,False,5.5,8.629870129870131,5.599999999999999,5.599999999999999,5.55,5.5,False,0.9915860954520679,2.465889943118454,True,True,True,0.976,True,5.82435405341457,338.44244671285696,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,65.0,5.4,0.65,False,5.4,8.630952380952381,5.599999999999999,5.599999999999999,5.6,5.449999999999999,False,0.9351645058818389,2.4596265854810584,True,True,True,0.897,True,5.713093908911783,302.8064761583762,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,71.0,3.5,0.71,False,3.5,8.642857142857144,6.000000000000001,6.000000000000001,6.0,4.874999999999999,False,0.5490367260307932,2.464218168848497,True,True,True,0.948,True,6.671738853572651,789.7677015683679,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,40.0,5.5,0.4,False,5.5,8.64935064935065,5.599999999999999,5.599999999999999,5.499999999999999,5.5,False,0.9914328330754434,2.4341646415315896,True,True,True,0.949,True,5.972472718328121,392.47495188325087,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,60.0,5.4,0.6,False,5.4,8.650793650793652,5.599999999999999,5.599999999999999,5.6,5.4,False,0.9018359957693557,2.4121992558033107,True,True,True,0.896,True,5.650260587988618,284.365558418582,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,38.0,5.5,0.38,False,5.5,8.653246753246755,5.599999999999999,5.59,5.499999999999999,5.5,False,0.9789884408648237,2.423930711523479,True,True,True,0.949,True,5.9894962076613325,399.213438585222,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,37.0,5.5,0.37,False,5.5,8.655194805194805,5.599999999999999,5.585,5.499999999999999,5.5,False,0.9934736010173432,2.4188378304986307,True,True,True,0.911,True,5.996432921871751,401.99229504143716,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,55.0,4.75,0.55,False,4.75,8.657894736842106,6.000000000000001,6.000000000000001,5.6875,4.75,False,0.8903124451561933,2.356763086717636,True,True,True,0.987,True,5.6385501170187045,281.05492616689463,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,58.0,5.4,0.58,False,5.4,8.658730158730158,5.599999999999999,5.599999999999999,5.579999999999999,5.4,False,0.9356826603161605,2.402607549382127,True,True,True,0.896,True,5.655456788312502,285.84702448921763,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,70.0,3.6,0.7,False,3.6,8.666666666666668,6.000000000000001,6.000000000000001,6.0,4.799999999999999,False,0.5714285714285713,2.450672597676491,True,True,True,0.948,True,6.594127848727375,730.791248154956,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,60.0,4.5,0.6,False,4.5,8.666666666666668,6.000000000000001,6.000000000000001,6.0,4.5,False,0.8118035476640886,2.3272651202656762,True,True,True,0.977,True,5.685629905395805,294.603358861947,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,31.0,5.5,0.31,False,5.5,8.666883116883119,5.599999999999999,5.555,5.499999999999999,5.5,False,1.0087626285783622,2.388624169821264,True,True,True,0.915,True,6.016002780747638,409.9367095156918,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,30.0,5.5,0.3,False,5.5,8.668831168831169,5.599999999999999,5.549999999999999,5.499999999999999,5.5,False,0.9870849683253605,2.383646798528971,True,True,True,0.915,True,6.015589352829182,409.7672652640835,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,55.0,5.4,0.55,False,5.4,8.670634920634923,5.599999999999999,5.599999999999999,5.550000000000001,5.4,False,0.9952909532557068,2.3884999922700922,True,True,True,0.989,True,5.695747012398135,297.5990207307165,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
4.9,30.0,6.0,0.3,False,6.0,8.673469387755102,4.9,5.45,6.0,6.0,False,0.9340241688303278,2.4670442981878535,True,True,True,0.857,True,6.2666232262772255,526.6958389747139,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,27.0,5.5,0.27,False,5.5,8.674675324675325,5.599999999999999,5.535000000000001,5.499999999999999,5.5,False,0.9243033780604061,2.3688166256924132,True,True,True,0.915,True,6.009121306376129,407.12542454191964,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
4.8,27.0,6.0,0.27,False,6.0,8.675,4.8,5.58,6.0,6.0,False,0.8619212047892233,2.457170963727345,True,True,True,0.857,True,6.27656830159402,531.9600016219767,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,24.0,5.5,0.24,False,5.5,8.68051948051948,5.599999999999999,5.5200000000000005,5.499999999999999,5.5,False,0.9167656099971626,2.354141608215482,True,True,True,0.822,True,6.0082161049648475,406.75706077990696,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,22.0,5.5,0.22,False,5.5,8.684415584415586,5.599999999999999,5.51,5.499999999999999,5.5,False,0.9413678714443974,2.3444459007242773,True,True,True,0.822,True,6.013086127107341,408.7428080644617,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,71.0,5.0,0.71,False,5.0,8.687142857142858,5.599999999999999,5.599999999999999,5.6,5.33,False,0.9167656099971626,2.3354714626854505,True,True,True,0.947,True,5.891850458382656,362.074668953435,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,50.0,5.4,0.5,False,5.4,8.690476190476192,5.599999999999999,5.599999999999999,5.499999999999999,5.4,False,0.9453269194801753,2.3657488241474316,True,True,True,0.996,True,5.806490701200878,332.45040836601083,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
4.9,31.0,6.0,0.31,False,6.0,8.69591836734694,4.9,5.3950000000000005,6.0,6.0,False,0.9414237616395673,2.4187056982827526,True,True,True,0.857,True,6.267036654195681,526.9136347574066,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,70.0,5.0,0.7,False,5.0,8.700000000000001,5.599999999999999,5.599999999999999,5.6,5.3,False,0.9055666846832229,2.305950818992796,True,True,True,0.947,True,5.844621475691564,345.3717854191824,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,50.0,4.85,0.5,False,4.85,8.711340206185568,6.000000000000001,6.000000000000001,5.425,4.85,False,0.9544071378053902,2.311388575419956,True,True,True,0.992,True,5.731198717157165,308.3386577757671,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,69.0,5.0,0.69,False,5.0,8.712857142857144,5.599999999999999,5.599999999999999,5.6,5.27,False,0.8951399388945183,2.276462793633259,True,True,True,0.947,True,5.80172528281378,330.86991193155455,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,70.0,3.5,0.7,False,3.5,8.714285714285715,6.000000000000001,6.000000000000001,6.0,4.749999999999999,False,0.5482928049865328,2.377321219110642,True,True,True,0.977,True,6.6245098708815595,753.3348906883908,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,71.0,4.85,0.71,False,4.85,8.720544918998527,5.599999999999999,5.599999999999999,5.6,5.262499999999999,False,0.8141616446833326,2.2635953416700185,True,True,True,0.991,True,5.898709452325119,364.5666734665819,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,60.0,4.4,0.6,False,4.4,8.727272727272727,6.000000000000001,6.000000000000001,6.0,4.4,False,0.7437598395850583,2.2112525153635216,True,True,True,0.987,True,5.741587786960816,311.5587073119109,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,40.0,5.4,0.4,False,5.4,8.730158730158731,5.599999999999999,5.599999999999999,5.4,5.4,False,0.9519133692201199,2.3106602232894056,True,True,True,0.949,True,5.954609366114429,385.5262816301479,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,71.0,4.8,0.71,False,4.8,8.732142857142858,5.599999999999999,5.599999999999999,5.6,5.239999999999999,False,0.7810628551361725,2.2390899526755814,True,True,True,0.998,True,5.906404754053662,367.3829461553788,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,69.0,3.6,0.69,False,3.6,8.733333333333334,6.000000000000001,6.000000000000001,6.0,4.679999999999999,False,0.5531376180389436,2.3226758390603504,True,True,True,0.987,True,6.55123165584959,700.1059325790294,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,58.0,4.5,0.58,False,4.5,8.733333333333334,6.000000000000001,6.000000000000001,5.85,4.5,False,0.7819410209242648,2.226033468637255,True,True,True,0.987,True,5.690826105719689,296.13816104712174,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
