C1,Q1_percent,C2,q,single_stage_0_80,C2_effective,tau_0_80_min,E0_20,E20_40,E40_60,E60_80,observed_train_parameter_combo,d5_raw,d5_soc,passes_raw_5nn,passes_soc_5nn,passes_double_5nn,support_bootstrap_rate,passes_support_bootstrap,q2b_pred_log_life,q2b_pred_cycle_life,model_disagreement_log,candidate_type,status,status_reason
1.0,4.0,5.4,0.04,False,5.4,10.844444444444443,4.5200000000000005,5.4,5.4,5.4,False,1.919413308534562,1.6537883788755126,False,True,False,0.0,False,5.55174806365948,257.6876167820331,N/A,new_parameter_combo,rejected,no_support
1.0,4.0,5.5,0.04,False,5.5,10.690909090909091,4.6,5.5,5.499999999999999,5.5,False,1.9343596999988377,1.5352918834884466,False,True,False,0.0,False,5.569611415873173,262.3321413258726,N/A,new_parameter_combo,rejected,no_support
1.0,4.0,6.0,0.04,False,6.0,10.000000000000002,5.0,6.000000000000001,6.0,6.0,True,2.0546891368232796,2.008908162125078,False,True,False,0.0,False,5.706670041009691,300.8675218166654,N/A,existing_parameter_combo,rejected,no_support
1.0,13.0,3.0,0.13,False,3.0,21.200000000000003,1.7,3.0000000000000004,3.0,3.0,False,2.5897388766011904,15.70014128315872,False,False,False,0.0,False,6.0741513894033785,434.4806411525242,N/A,new_parameter_combo,rejected,no_support
1.0,13.0,3.5,0.13,False,3.5,19.28571428571429,1.875,3.5,3.5,3.4999999999999996,False,2.460569143552785,12.827147171998469,False,False,False,0.0,False,6.169763255766902,478.07291168588665,N/A,new_parameter_combo,rejected,no_support
1.0,13.0,3.6,0.13,False,3.6,18.96666666666667,1.9100000000000001,3.6,3.6,3.6000000000000005,False,2.4225607340589184,12.349463262203981,False,False,False,0.0,False,6.139381233612717,463.7665189259324,N/A,new_parameter_combo,rejected,no_support
1.0,13.0,4.0,0.13,False,4.0,17.849999999999998,2.05,4.0,4.0,4.0,False,2.292247916392135,10.691671163435206,False,False,False,0.0,False,5.852838493573013,348.22140320217386,N/A,new_parameter_combo,rejected,no_support
1.0,13.0,4.25,0.13,False,4.25,17.258823529411764,2.1375,4.25,4.25,4.25,False,2.199214261354937,9.800673633834213,False,False,False,0.0,False,5.625048020426651,277.28559957623,N/A,new_parameter_combo,rejected,no_support
1.0,13.0,4.4,0.13,False,4.4,16.936363636363637,2.19,4.4,4.4,4.4,False,2.1248396097933937,9.31549460295734,False,False,False,0.0,False,5.520827559025172,249.8417104230739,N/A,new_parameter_combo,rejected,no_support
1.0,13.0,4.5,0.13,False,4.5,16.733333333333334,2.225,4.5,4.5,4.5,False,2.0776292660980062,9.014417908682589,False,False,False,0.0,False,5.464869677460161,236.2450650456836,N/A,new_parameter_combo,rejected,no_support
1.0,13.0,4.75,0.13,False,4.75,16.263157894736842,2.3125,4.75,4.75,4.75,False,1.9688939451750418,8.336401250865947,False,False,False,0.0,False,5.372303464673543,215.35836719344164,N/A,new_parameter_combo,rejected,no_support
1.0,13.0,4.8,0.13,False,4.8,16.175,2.33,4.8,4.8,4.8,False,1.948882594551796,8.213216410864057,False,False,False,0.0,False,5.361903677737804,213.13029189551526,N/A,new_parameter_combo,rejected,no_support
1.0,13.0,4.85,0.13,False,4.85,16.088659793814433,2.3475,4.85,4.85,4.85,False,1.9294930337648126,8.094083053304644,False,False,False,0.0,False,5.35420837600926,211.4964843753184,N/A,new_parameter_combo,rejected,no_support
1.0,13.0,5.0,0.13,False,5.0,15.84,2.4,5.0,5.0,5.000000000000001,False,1.8752448819679366,7.7607084174938095,False,False,False,0.0,False,5.347349382066797,210.05079492552204,N/A,new_parameter_combo,rejected,no_support
