feature_model,feature_removed,rmse_log,mae_log,delta_mae_log,bootstrap_median_delta,ci95_low,ci95_high,positive_delta_rate
drop_C1,C1,0.35658599082626846,0.25995076383600957,-0.015614514392336742,-0.01563275111991022,-0.03334628076742863,0.0012736398317992016,0.034
drop_Q1_percent,Q1_percent,0.39232813449230935,0.29454641451385116,0.01898113628550485,0.019676555202654766,-0.0003215234058282834,0.040501264270387485,0.972
drop_C2,C2,0.38565872634444437,0.29800938454083326,0.022444106312486944,0.022063740952246363,0.006622816189474438,0.03781368784515384,0.997
