feature,standardized_coefficient,bootstrap_median,ci95_low,ci95_high,dominant_sign_rate
C1,-0.0172482926788066,-0.018877227566155043,-0.15502044273884563,0.12585562193745578,0.606
Q1_percent,0.14766113508093884,0.13943290844750222,0.022686971739571488,0.25163254509398914,0.991
C2,-0.11779271515082658,-0.113719054870423,-0.22544595104798634,-0.009552212193207035,0.9835
