feature_model,feature_removed,rmse_log,mae_log,delta_mae_log
full_M1,,0.37168935907539924,0.2755652782283463,0.0
drop_C1,C1,0.35658599082626846,0.25995076383600957,-0.015614514392336742
drop_Q1_percent,Q1_percent,0.39232813449230935,0.29454641451385116,0.01898113628550485
drop_C2,C2,0.38565872634444437,0.29800938454083326,0.022444106312486944
