model_id,model_name,barcode,policy_table9,k,outer_fold,future_point_count,soh_mse,soh_rmse,soh_mae
M2,早期运行特征 Ridge（运行后基线）,EL150800460506,6C(50%)-3.6C,100,3,603,0.002310984120754811,0.04807269620850084,0.028205167596359864
M2,早期运行特征 Ridge（运行后基线）,EL150800460507,6C(30%)-3.6C,100,3,759,0.0002834281286059026,0.01683532383430454,0.010742386093870336
M2,早期运行特征 Ridge（运行后基线）,EL150800460603,4.65C(19%)-4.85C,100,3,388,0.0004372347256155269,0.020910158431143626,0.013081007605223712
M2,早期运行特征 Ridge（运行后基线）,EL150800460630,5.4C(70%)-3C,100,3,916,0.0004885999168523746,0.02210429634375124,0.014285515551860329
M2,早期运行特征 Ridge（运行后基线）,EL150800460634,3.6C(30%)-6C,100,3,410,0.0006489124093440885,0.025473759230708146,0.022610795787656984
M2,早期运行特征 Ridge（运行后基线）,EL150800463208,4C(40%)-6C,100,3,382,0.00017346784366260932,0.013170719177881264,0.011669226930281
M2,早期运行特征 Ridge（运行后基线）,EL150800463882,5.4C(40%)-3.6C,100,3,687,0.00178462537349334,0.04224482658851069,0.02490183749081916
M2,早期运行特征 Ridge（运行后基线）,EL150800460466,4C(13%)-5C,100,4,376,0.00015215467771396353,0.012335099420513947,0.008805992807240535
M2,早期运行特征 Ridge（运行后基线）,EL150800460513,5.6C(65%)-3C,100,4,328,0.00040424207706938725,0.020105772232604926,0.011279800349644018
M2,早期运行特征 Ridge（运行后基线）,EL150800460615,6C(40%)-3C,100,4,608,6.702373253755977e-05,0.008186802338981915,0.0064533227697233875
M2,早期运行特征 Ridge（运行后基线）,EL150800460628,5.2C(71%)-3C,100,4,362,0.00041522898654707853,0.020377168266152157,0.012848777294807863
M2,早期运行特征 Ridge（运行后基线）,EL150800460655,3.6C(22%)-5.5C,100,4,343,0.0017781353956802125,0.04216794274896764,0.03282310594093997
M2,早期运行特征 Ridge（运行后基线）,EL150800463229,7C(30%)-3.6C,100,4,865,0.0002753007430086451,0.01659218921687687,0.01013366517512246
M2,早期运行特征 Ridge（运行后基线）,EL150800464881,5.4C(60%)-3C,100,4,687,0.0025687188581098503,0.05068253010762042,0.03390935870537365
M2,早期运行特征 Ridge（运行后基线）,EL150800464883,4.4C(80%)-4.4C,100,4,973,0.0031570396212692903,0.05618753973319432,0.03686201437860849
M2,早期运行特征 Ridge（运行后基线）,EL150800440551,4.4C(55%)-6C,100,5,360,0.004060003769391285,0.06371815886692964,0.050932471295285116
M2,早期运行特征 Ridge（运行后基线）,EL150800453773,6C(60%)-3C,100,5,516,9.633810004768236e-05,0.00981519740237976,0.0053461191452319114
M2,早期运行特征 Ridge（运行后基线）,EL150800460602,2C(2%)-5C,100,5,337,0.0006499471055178521,0.025494060200718364,0.01738099827521458
M2,早期运行特征 Ridge（运行后基线）,EL150800460604,4.9C(69%)-4.25C,100,5,397,0.00043024764351912723,0.020742411709324622,0.010746004999700024
M2,早期运行特征 Ridge（运行后基线）,EL150800460627,5.6C(58%)-3.5C,100,5,358,0.0011206501541017532,0.033476113186894224,0.016956629126115813
M2,早期运行特征 Ridge（运行后基线）,EL150800460640,6C(40%)-3.6C,100,5,630,0.0004738301966967956,0.02176764104575403,0.014583892343131968
M2,早期运行特征 Ridge（运行后基线）,EL150800460641,5.2C(58%)-4C,100,5,419,7.903951879813607e-05,0.008890417245446699,0.007495768059387901
M2,早期运行特征 Ridge（运行后基线）,EL150800463871,5.4C(60%)-3.6C,100,5,458,0.0005282719411821466,0.022984167184871996,0.020275598787709452
M3,策略＋早期特征联合 Ridge,EL150800453113,5.4C(50%)-3C,100,1,618,0.0007469424544859209,0.027330247977029425,0.01889848116395672
M3,策略＋早期特征联合 Ridge,EL150800460478,4.4C(24%)-5C,100,1,393,0.0008767376190378256,0.02960975547075365,0.02058906606418461
M3,策略＋早期特征联合 Ridge,EL150800460511,5.6C(38%)-4.25C,100,1,377,0.000817736719262851,0.02859609622418506,0.015073447334194202
M3,策略＋早期特征联合 Ridge,EL150800460518,1C(4%)-6C,100,1,199,0.004306621163707586,0.06562485172331886,0.05467999104028633
M3,策略＋早期特征联合 Ridge,EL150800460608,5.2C(37%)-4.5C,100,1,391,0.0010401341534421768,0.0322511108869474,0.018464894269267892
M3,策略＋早期特征联合 Ridge,EL150800460611,4.8C(80%)-4.8C,100,1,360,0.002501553640400144,0.05001553399095269,0.034923702288050584
M3,策略＋早期特征联合 Ridge,EL150800460613,6C(4%)-4.75C,100,1,386,0.00017020565752276103,0.013046289032623837,0.008673163956705619
M3,策略＋早期特征联合 Ridge,EL150800460614,4.9C(27%)-4.75C,100,1,367,0.0007438849225874353,0.02727425384107575,0.018009720523039008
M3,策略＋早期特征联合 Ridge,EL150800465027,4.8C(80%)-4.8C,100,1,769,0.000193852419625515,0.013923089442559615,0.008242381813391892
M3,策略＋早期特征联合 Ridge,EL150800460486,3.6C(80%)-3.6C,100,2,2059,0.005762100385631656,0.07590850008814333,0.055811471682929534
M3,策略＋早期特征联合 Ridge,EL150800460498,6C(31%)-4.25C,100,2,361,0.00023320477532125074,0.015271043688014605,0.01072316460495019
M3,策略＋早期特征联合 Ridge,EL150800460501,4.65C(69%)-6C,100,2,426,1.0666957236780107e-05,0.0032660308076899866,0.0029010923674794888
M3,策略＋早期特征联合 Ridge,EL150800460522,5.4C(50%)-3.6C,100,2,756,0.004930719349216689,0.07021908109066002,0.05108239648228414
M3,策略＋早期特征联合 Ridge,EL150800460525,6C(50%)-3C,100,2,641,0.0002352860022787303,0.015339035246022818,0.011754908794257016
M3,策略＋早期特征联合 Ridge,EL150800460618,7C(40%)-3C,100,2,601,0.0008327352530156166,0.028857152545177022,0.015828174180964914
M3,策略＋早期特征联合 Ridge,EL150800460659,5.4C(80%)-5.4C,100,2,769,0.0001070904445636718,0.010348451312330352,0.007659183385128986
M3,策略＋早期特征联合 Ridge,EL150800464977,4C(80%)-4C,100,2,1333,0.0026106555904249658,0.05109457496080152,0.033107357581999834
M3,策略＋早期特征联合 Ridge,EL150800460485,7C(40%)-3.6C,100,3,515,0.001935184109902387,0.04399072754459043,0.030151279012317945
M3,策略＋早期特征联合 Ridge,EL150800460506,6C(50%)-3.6C,100,3,603,0.002143212239907274,0.04629484031625203,0.026831677186711547
M3,策略＋早期特征联合 Ridge,EL150800460507,6C(30%)-3.6C,100,3,759,0.0006274397747897125,0.02504874796850558,0.016109463105749827
M3,策略＋早期特征联合 Ridge,EL150800460603,4.65C(19%)-4.85C,100,3,388,0.000724869337329753,0.026923397581467185,0.016381241205836443
M3,策略＋早期特征联合 Ridge,EL150800460630,5.4C(70%)-3C,100,3,916,0.0006311374406608405,0.025122448938366668,0.016036106370653804
M3,策略＋早期特征联合 Ridge,EL150800460634,3.6C(30%)-6C,100,3,410,0.0006349078958059519,0.02519737874871019,0.022538831668766586
M3,策略＋早期特征联合 Ridge,EL150800463208,4C(40%)-6C,100,3,382,0.00032883863302839394,0.018133908377081703,0.01657826361080427
M3,策略＋早期特征联合 Ridge,EL150800463882,5.4C(40%)-3.6C,100,3,687,0.001697389026127496,0.04119938138039813,0.024082411605422786
M3,策略＋早期特征联合 Ridge,EL150800460466,4C(13%)-5C,100,4,376,0.0003730041513294185,0.019313315389373687,0.011901038976113923
M3,策略＋早期特征联合 Ridge,EL150800460513,5.6C(65%)-3C,100,4,328,0.0010104590168194465,0.031787718018433574,0.017950453093468845
M3,策略＋早期特征联合 Ridge,EL150800460615,6C(40%)-3C,100,4,608,0.0003386132848825659,0.018401447901797454,0.013230576097782998
M3,策略＋早期特征联合 Ridge,EL150800460628,5.2C(71%)-3C,100,4,362,0.0011196725913989061,0.033461509102234256,0.020869884501840585
M3,策略＋早期特征联合 Ridge,EL150800460655,3.6C(22%)-5.5C,100,4,343,0.0014198617252652178,0.03768105260293584,0.0299007637530831
M3,策略＋早期特征联合 Ridge,EL150800463229,7C(30%)-3.6C,100,4,865,5.335592481068455e-06,0.002309890144805258,0.0016596398639075346
M3,策略＋早期特征联合 Ridge,EL150800464881,5.4C(60%)-3C,100,4,687,0.002146316804366043,0.04632835853304154,0.030635594973083505
M3,策略＋早期特征联合 Ridge,EL150800464883,4.4C(80%)-4.4C,100,4,973,0.0025220604556887073,0.05022012002861709,0.03193923878255543
