k,cell_count,successful_curve_cells,template_failures,cell_equal_life_rmse_log,cell_equal_life_mae_log,cell_equal_soh_rmse,cell_equal_soh_mae,cell_equal_soh_iae,future_point_count_median,soh_nom_120_available_cells,soh_nom_120_available_ratio,cell_equal_life_rmse_log_ci95_low,cell_equal_life_rmse_log_ci95_high,cell_equal_life_mae_log_ci95_low,cell_equal_life_mae_log_ci95_high,cell_equal_soh_rmse_ci95_low,cell_equal_soh_rmse_ci95_high,cell_equal_soh_mae_ci95_low,cell_equal_soh_mae_ci95_high,cell_equal_soh_iae_ci95_low,cell_equal_soh_iae_ci95_high,dominated_by_k,pareto_status,within_best_life_upper_ci,within_best_soh_upper_ci,earliest_acceptable,within_plan_one_se_life,passes_v2_q3_window_prerequisites
5,41,41,0,0.2793637078300392,0.1907525836486076,0.03816920759618952,0.02202389600487961,17.114774619788776,521.0,41,1.0,0.1764236949392788,0.38170887559004735,0.13507253228557498,0.2596346427600344,0.03038577663489404,0.04559937595207675,0.017437331753126947,0.0272499914584913,10.989372842717831,25.501822398720396,,non_dominated,True,True,True,False,True
10,41,41,0,0.26533964708802543,0.19074117349942285,0.03809348166216809,0.021821937720257582,16.18080833534252,516.0,41,1.0,0.1789212377491563,0.33980671282032976,0.1380448009466332,0.24813232959106518,0.0307728867656863,0.044645046667019475,0.01716392569298538,0.02659894104590613,10.676026800240129,23.325568661237888,,non_dominated,True,True,True,False,True
20,41,41,0,0.3010264861895247,0.2020859287448671,0.03987436529430557,0.022624071037314175,16.53603291906487,506.0,41,1.0,0.19452734689779788,0.4064837910526435,0.14218868116728692,0.27456890548959234,0.032494173772201554,0.04694701692476169,0.01759570737388082,0.028054304985434004,10.898920460331807,23.37358300053499,"5,10",dominated,False,True,False,False,True
50,41,41,0,0.28380385564888394,0.19945419035709036,0.037984443722436693,0.021702390082340286,15.0843803242173,476.0,41,1.0,0.19049261477389226,0.37408315415976817,0.14477993370132877,0.26454395871308184,0.03106603037223263,0.04464503054375391,0.017103097263597666,0.02659654101957821,9.926240186027957,21.850095907327127,,non_dominated,True,True,True,False,True
100,41,41,0,0.2317370843306235,0.17008424662810068,0.034752360850627634,0.020554871066292963,13.046534000717463,426.0,41,1.0,0.1662140341916827,0.28980553728472236,0.12667590006431223,0.2182526699065135,0.028908874359899552,0.04069218717498832,0.01698783959201625,0.02469997755251434,8.640853652496123,19.270747702826128,,non_dominated,True,True,True,True,True
