method_id,method_name,role,complexity,rmse_log,mae_log,rmse_cycle,mae_cycle,overprediction_rate,mean_positive_log_error,mean_positive_cycle_error,rmse_log_ci95_low,rmse_log_ci95_high,rmse_log_bootstrap_se,mae_log_ci95_low,mae_log_ci95_high,mae_log_bootstrap_se,rmse_cycle_ci95_low,rmse_cycle_ci95_high,rmse_cycle_bootstrap_se,mae_cycle_ci95_low,mae_cycle_ci95_high,mae_cycle_bootstrap_se,overprediction_rate_ci95_low,overprediction_rate_ci95_high,overprediction_rate_bootstrap_se,mean_positive_log_error_ci95_low,mean_positive_log_error_ci95_high,mean_positive_log_error_bootstrap_se,mean_positive_cycle_error_ci95_low,mean_positive_cycle_error_ci95_high,mean_positive_cycle_error_bootstrap_se,within_best_rmse_one_se,within_best_mae_one_se,overprediction_not_higher_than_error_anchor,parameter_eligible,selected_parameter_proxy,selected_final_proxy,reference_method_id,delta_rmse_log_ci95_low,delta_rmse_log_ci95_high,delta_rmse_log_bootstrap_mean,delta_mae_log_ci95_low,delta_mae_log_ci95_high,delta_mae_log_bootstrap_mean,delta_overprediction_rate_ci95_low,delta_overprediction_rate_ci95_high,delta_overprediction_rate_bootstrap_mean,delta_mean_positive_log_error_ci95_low,delta_mean_positive_log_error_ci95_high,delta_mean_positive_log_error_bootstrap_mean
P1_ridge,P1 主效应 Ridge,parameter_baseline,1,0.36759609107599256,0.26675882714982246,329.68267615928784,194.67474895228582,0.5609756097560976,0.13608647123698728,76.61247968236792,0.2576365572903798,0.4824392011349731,0.05855020986711057,0.19553149428135286,0.3454269910063419,0.038875563289397196,165.65666149249327,499.6592407571387,91.0189214325469,124.14601912754235,285.66228134086,41.38461185399193,0.4146341463414634,0.7073170731707317,0.07768385472326439,0.08611222021035408,0.19122067939013263,0.02700826099969111,47.59831476820825,107.45027295314262,15.578781334870978,True,True,False,False,False,False,P3_additive_gam,-0.01870698743289094,0.058026897362518474,0.01917216767918456,-0.007246369028261282,0.07377607893833885,0.032097169373859674,-0.09302325581395354,0.22500000000000003,0.069414581087151,-0.01687819452502468,0.07356464387333807,0.026270009530050552
P2_elasticnet,P2 ElasticNet,parameter_candidate,2,0.3770496318737104,0.27266861693934125,333.33870291002245,198.17175241981644,0.5121951219512195,0.14059653180839646,79.86153280384082,0.2652876860120193,0.49128811578787723,0.05875919885980298,0.19944008168923946,0.3535678587109407,0.0401790396091491,169.90271423399068,502.1853113747682,90.55251889840316,126.73024371649153,288.5836792647838,41.73916302460583,0.36585365853658536,0.6585365853658537,0.07648173466582585,0.08764524681201488,0.20040734484263578,0.029093058387913383,48.767305249506,113.72993347523763,16.844770813972314,True,False,False,False,False,False,P3_additive_gam,-0.008371888968686615,0.06962338959512226,0.028700557891386227,-0.0034887033782834203,0.08105668257454489,0.03794758131325943,-0.14999999999999997,0.1951219512195122,0.019618956845168033,-0.016266870599225124,0.07955138841760678,0.030740030607749394
P3_additive_gam,P3 低自由度加性样条 GAM,parameter_candidate,3,0.34891949255104354,0.23383433004886758,323.0656221636467,176.7547363612908,0.4878048780487805,0.10925923432685038,65.83012259625953,0.22502876522643575,0.46530484077929957,0.06158266225001525,0.16193771699525256,0.3153613180206874,0.03860707478877306,154.0574015245398,490.8196171739813,91.42737466316976,107.56848286774233,267.02335295319244,41.48887729444769,0.325,0.65,0.08365152322753389,0.058642453241117776,0.1648565480865762,0.02761160686041316,33.6971223071986,102.07148189903532,17.699189678540222,True,True,True,True,True,True,,,,,,,,,,,,,
C1_restricted_boosting,C1 严格受限提升树（挑战者）,challenger,4,0.33168018902470026,0.2273535971340065,300.64115900673386,170.47874928177737,0.4878048780487805,0.10959875589011402,66.53687321153451,0.2324207429556398,0.42255634379032836,0.048086657670164616,0.15588832461838384,0.3008746359615051,0.03720522709139399,157.3909577382525,445.4723205514133,78.11309422421911,103.57120581952016,254.17456860440072,38.296203503459516,0.34146341463414637,0.6341463414634146,0.07461819729486095,0.05538773737647002,0.1707700385224581,0.02961087278614504,33.10765912803738,104.57875180930866,18.501999869068186,,,,,False,False,P3_additive_gam,-0.06309479036819785,0.03794787584471826,-0.0151564517370225,-0.048125065815727744,0.03739738556810865,-0.006632931035795741,-0.19047619047619052,0.1951219512195122,-0.00288175551246373,-0.03836219191391566,0.03689303565680299,0.00023788673935561927
