policy_table9,C1,Q1_percent,C2,tau_0_80_min,cell_count,train_oof_cell_count,primary_confirmation_cell_count,status,evidence_scope,q2_pred_median_log,q3_pred_median_log,q2_pred_empirical_p10_log,q3_pred_empirical_p10_log,q2_pred_empirical_p10_cycle,q3_pred_empirical_p10_cycle,life_rob_empirical_p10_cycle,q3_pred_soh_nom_120_median,q3_pred_soh_nom_120_empirical_p10,soh120_prediction_cell_count,development_pareto,pareto_scope
5.4C(80%)-5.4C,5.4,80.0,5.4,8.88888888888889,2,1,1,observed_Q2Q3_confirmed,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.430106178350794,6.80326899874394,6.281047543734392,6.701317321613336,534.3481237740627,813.4767301280968,534.3481237740627,0.984609025913423,0.9797885493471,2,True,development_pool_non_dominated_not_external
5.4C(70%)-3C,5.4,70.0,3.0,9.777777777777779,2,1,1,observed_Q2Q3_confirmed,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.556303640519866,6.888533631974056,6.513531328721767,6.759049838680976,674.203051383387,861.8229358188437,674.203051383387,0.9813247827998666,0.979664909091,2,True,development_pool_non_dominated_not_external
5.4C(40%)-3.6C,5.4,40.0,3.6,11.11111111111111,2,1,1,observed_Q2Q3_confirmed,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.628494386922403,6.899335627270377,6.5223205863707046,6.717566954054556,680.1549136194529,826.8034115880108,680.1549136194529,0.9759047782492081,0.963610818182,2,True,development_pool_non_dominated_not_external
6C(40%)-3C,6.0,40.0,3.0,12.0,2,1,1,observed_Q2Q3_confirmed,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.650225303712433,6.637613515803977,6.5992603954648335,6.55752093820486,734.5517105106719,704.522971911704,704.522971911704,0.9824555195117992,0.9819880528894188,2,True,development_pool_non_dominated_not_external
