statistic,point_estimate,ci95_low,ci95_high,bootstrap_unit,bootstrap_replicates
Pearson相关,0.9028564256043469,0.19043525524135682,0.9723714080813061,重复策略组,2000
Spearman相关,0.5513608428446005,-0.02310680813446469,0.8790654380497174,重复策略组,2000
平均绝对寿命差（cycle）,119.5,68.9967105263158,175.0059210526314,重复策略组,2000
