k,rmse_log,mae_log,rmse_cycle,mae_cycle,overprediction_rate,cell_equal_soh_rmse,future_point_pooled_soh_rmse,curve_cells,template_failures,failure_predicted_life_not_after_k,failure_missing_anchor,failure_no_future_observation,failure_template_anchor_denominator
5,0.3030541203368948,0.20322464558388928,230.33815980654143,143.11514622354227,0.5116279069767442,0.042588675806334214,0.04596758052758947,43,0,0,0,0,0
100,0.3970168899299244,0.21534654596962247,212.02231620110794,134.9150827024073,0.5348837209302325,0.03842854307045683,0.04235768655297242,41,2,2,0,0,0
